,0,1,2,3,4,5,6,7,8
0,,,,,,,,,
1,1,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos socialinės apsaugos ir darbo ministerija",Identifikacinis kodas 2024-11420,A1-421,2024-06-21,2024-06-21,,Įsakymo 2 punktas įsigalioja 2024-06-22
2,2,Nutarimas,"Priėmė
                                    
                                        Valstybinė energetikos reguliavimo taryba",Identifikacinis kodas 2024-11419,O3E-885,2024-06-21,2024-06-21,,
3,3,Nutarimas,"Priėmė
                                    
                                        Valstybinė energetikos reguliavimo taryba",Identifikacinis kodas 2024-11418,O3E-883,2024-06-21,2024-06-21,,
4,4,Nutarimas,"Priėmė
                                    
                                        Valstybinė energetikos reguliavimo taryba",Identifikacinis kodas 2024-11417,O3E-875,2024-06-21,2024-06-21,,
5,5,Potvarkis,"Priėmė
                                    
                                        Lietuvos Respublikos Ministras Pirmininkas",Identifikacinis kodas 2024-11416,118,2024-06-21,2024-06-21,,
6,6,Įsakymas,"Priėmė
                                    
                                        Žemės ūkio agentūra prie Žemės ūkio ministerijos",Identifikacinis kodas 2024-11415,VĮ-168,2024-06-21,2024-06-21,,
7,7,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos švietimo, mokslo ir sporto ministerija",Identifikacinis kodas 2024-11412,V-707,2024-06-21,2024-06-21,,
8,8,Įstatymas,"Priėmė
                                    
                                        Lietuvos Respublikos Seimas",Identifikacinis kodas 2024-11411,XIV-2764,2024-06-18,2024-06-21,,
9,9,Įstatymas,"Priėmė
                                    
                                        Lietuvos Respublikos Seimas",Identifikacinis kodas 2024-11410,XIV-2763,2024-06-18,2024-06-21,,
10,10,Įstatymas,"Priėmė
                                    
                                        Lietuvos Respublikos Seimas",Identifikacinis kodas 2024-11409,XIV-2762,2024-06-18,2024-06-21,,"Įstatymo 13 straipsnio 4 dalis įsigalioja 2024-06-22.
Įstatymo 12 straipsnis įsigalioja 2026-01-01.
Įstatymo 6 straipsnio 3 dalis įsigalioja 2026-07-01"
11,11,Įstatymas,"Priėmė
                                    
                                        Lietuvos Respublikos Seimas",Identifikacinis kodas 2024-11408,XIV-2757,2024-06-18,2024-06-21,,
12,12,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos ekonomikos ir inovacijų ministerija",Identifikacinis kodas 2024-11407,4-350,2024-06-21,2024-06-21,,
13,13,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos sveikatos apsaugos ministerija",Identifikacinis kodas 2024-11406,V-670,2024-06-21,2024-06-21,,
14,14,Įsakymas,"Priėmė
                                    
                                        Užimtumo tarnyba prie Lietuvos Respublikos socialinės apsaugos ir darbo ministerijos",Identifikacinis kodas 2024-11405,V-132,2024-06-21,2024-06-21,,
15,15,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos valstybės kontrolė",Identifikacinis kodas 2024-11404,VE-49,2024-06-21,2024-06-21,,
16,16,Įsakymas,"Priėmė
                                    
                                        Lietuvos Respublikos žemės ūkio ministerija",Identifikacinis kodas 2024-11398,3D-483,2024-06-21,2024-06-21,,
17,17,Nutarimas,"Priėmė
                                    
                                        Lietuvos Respublikos Vyriausybė",Identifikacinis kodas 2024-11395,512,2024-06-19,2024-06-21,,
18,18,Nutarimas,"Priėmė
                                    
                                        Teisėjų taryba",Identifikacinis kodas 2024-11394,13P-77-(7.1.2.),2024-06-20,2024-06-21,,
19,19,Nutarimas,"Priėmė
                                    
                                        Nacionalinė teismų administracija",Identifikacinis kodas 2024-11393,13P-76-(7.1.2.),2024-06-20,2024-06-21,,
20,20,Nutarimas,"Priėmė
                                    
                                        Nacionalinė teismų administracija",Identifikacinis kodas 2024-11392,13P-75-(7.1.2.),2024-06-20,2024-06-21,,
21,,,,,,,,,
22,1,Potvarkis,"Priėmė
                                    
                                        Kauno rajono savivaldybės administracija",Identifikacinis kodas 2024-11414,MP-766,2024-06-21,2024-06-21,,
23,2,Potvarkis,"Priėmė
                                    
                                        Prienų rajono savivaldybės administracija",Identifikacinis kodas 2024-11413,P1-210,2024-06-21,2024-06-21,,
24,3,Sprendimas,"Priėmė
                                    
                                        Kelmės rajono savivaldybės taryba",Identifikacinis kodas 2024-11403,T-181,2024-06-20,2024-06-21,,
25,4,Sprendimas,"Priėmė
                                    
                                        Kelmės rajono savivaldybės taryba",Identifikacinis kodas 2024-11402,T-182,2024-06-20,2024-06-21,,
26,5,Įsakymas,"Priėmė
                                    
                                        Panevėžio rajono savivaldybės administracija",Identifikacinis kodas 2024-11401,A-267,2024-06-21,2024-06-21,,
27,6,Įsakymas,"Priėmė
                                    
                                        Panevėžio rajono savivaldybės administracija",Identifikacinis kodas 2024-11400,A-266,2024-06-21,2024-06-21,,
28,7,Potvarkis,"Priėmė
                                    
                                        Akmenės rajono savivaldybės administracija",Identifikacinis kodas 2024-11399,M-235,2024-06-21,2024-06-21,,
29,8,Įsakymas,"Priėmė
                                    
                                        Vilniaus rajono savivaldybės administracija",Identifikacinis kodas 2024-11397,A27(1)-844,2024-06-21,2024-06-21,,
30,9,Įsakymas,"Priėmė
                                    
                                        Kėdainių rajono savivaldybės administracija",Identifikacinis kodas 2024-11396,AD-1-579,2024-06-21,2024-06-21,,
31,10,Įsakymas,"Priėmė
                                    
                                        Kauno miesto savivaldybės administracija",Identifikacinis kodas 2024-11387,A-755,2024-06-21,2024-06-21,,
32,11,Įsakymas,"Priėmė
                                    
                                        Kauno miesto savivaldybės administracija",Identifikacinis kodas 2024-11386,A-753,2024-06-21,2024-06-21,,
33,12,Įsakymas,"Priėmė
                                    
                                        Kauno miesto savivaldybės administracija",Identifikacinis kodas 2024-11385,A-752,2024-06-21,2024-06-21,,
34,13,Įsakymas,"Priėmė
                                    
                                        Kauno miesto savivaldybės administracija",Identifikacinis kodas 2024-11383,A-751,2024-06-21,2024-06-21,,
35,14,Sprendimas,"Priėmė
                                    
                                        Kelmės rajono savivaldybės taryba",Identifikacinis kodas 2024-11380,T-176,2024-06-20,2024-06-21,,
36,15,Sprendimas,"Priėmė
                                    
                                        Visagino savivaldybės taryba",Identifikacinis kodas 2024-11372,TS-116,2024-06-20,2024-06-21,,
37,16,Sprendimas,"Priėmė
                                    
                                        Visagino savivaldybės taryba",Identifikacinis kodas 2024-11371,TS-115,2024-06-20,2024-06-21,,
38,17,Sprendimas,"Priėmė
                                    
                                        Visagino savivaldybės taryba",Identifikacinis kodas 2024-11370,TS-114,2024-06-20,2024-06-21,,
39,18,Sprendimas,"Priėmė
                                    
                                        Visagino savivaldybės taryba",Identifikacinis kodas 2024-11369,TS-113,2024-06-20,2024-06-21,,
40,19,Sprendimas,"Priėmė
                                    
                                        Visagino savivaldybės taryba",Identifikacinis kodas 2024-11368,TS-110,2024-06-20,2024-06-21,,
41,20,Sprendimas,"Priėmė
                                    
                                        Visagino savivaldybės taryba",Identifikacinis kodas 2024-11367,TS-108,2024-06-20,2024-06-21,,
42,,,,,,,,,
43,1,Susitarimas,"Priėmė
                                    
                                        Tarptautinius dokumentus pasirašiusios šalys",Identifikacinis kodas 2024-05011,,2023-11-24,2024-03-20,,"Susitarimo 10 straipsnio 1 dalis: ""Šis Susitarimas įsigalioja tą dieną, kai gaunamas paskutinis rašytinis pranešimas, kuriuo Šalys diplomatiniais kanalais informuoja viena kitą, kad visos šiam Susitarimui įsigalioti būtinos jų vidaus teisinės procedūros yra atliktos."""
44,2,Sutartis,"Priėmė
                                    
                                        Tarptautinius dokumentus pasirašiusios šalys",Identifikacinis kodas 2024-03603,,2021-09-14,2024-02-27,,"Sutarties 12 str. 3 d. ""Ši Sutartis įsigalioja pirmą trečio mėnesio, einančio po to, kai depozitaras gauna paskutinį ratifikavimo, priėmimo ar patvirtinimo dokumentą, dieną. Depozitaras informuoja visas Šalis apie šios Sutarties įsigaliojimo datą."""
45,,,,,,,,,
46,1,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11334,2024-06-12 Nr. AB-9424-3-61-3-09549-2022-6,2024-06-12,2024-06-21,,
47,2,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11333,2024-06-12 Nr. AB-9493-3-61-3-00142-2022-6,2024-06-12,2024-06-21,,
48,3,Sprendimas,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11332,2024-06-12 Nr. AB-9473-3-61-3-00183-2024-3,2024-06-12,2024-06-21,,
49,4,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11331,2024-06-12 Nr. AB-9482-3-61-3-01897-2022-4,2024-06-12,2024-06-21,,
50,5,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11330,2024-06-12 Nr. AB-9512-3-65-3-00133-2022-0,2024-06-12,2024-06-21,,
51,6,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11329,2024-06-13 Nr. BB-3273-1-01-1-45511-2020-3,2024-06-13,2024-06-21,,
52,7,Sprendimas,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11328,2024-06-12 Nr. AB-9443-3-61-3-09957-2023-0,2024-06-12,2024-06-21,,
53,8,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11327,2024-06-12 Nr. AB-9436-3-61-3-00701-2024-9,2024-06-12,2024-06-21,,
54,9,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11326,2024-06-13 Nr. CB-3926-2-19-3-00985-2020-1,2024-06-13,2024-06-21,,
55,10,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11325,2024-06-12 Nr. AB-9509-3-64-3-02028-2023-5,2024-06-12,2024-06-21,,
56,11,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11324,2024-06-12 Nr. AB-9422-3-64-3-02321-2023-1,2024-06-12,2024-06-21,,
57,12,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11323,2024-06-12 Nr. AB-9413-3-61-3-10089-2022-7,2024-06-12,2024-06-21,,
58,13,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11322,2024-06-13 Nr. BB-3286-1-01-1-00923-2023-4,2024-06-13,2024-06-21,,
59,14,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11321,2024-06-12 Nr. AB-9425-3-61-3-00024-2024-7,2024-06-12,2024-06-21,,
60,15,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11320,2024-06-13 Nr. CB-3920-2-55-3-01140-2021-6,2024-06-13,2024-06-21,,
61,16,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11319,2024-06-13 Nr. CB-3919-2-68-3-10969-2023-1,2024-06-13,2024-06-21,,
62,17,Nutartis,"Priėmė
                                    
                                        Lietuvos Aukščiausiasis Teismas",Identifikacinis kodas 2024-11318,2024-06-13 Nr. ANB-607-4-70-3-00005-2024-7,2024-06-13,2024-06-21,,
63,18,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11317,2024-06-12 Nr. AB-9498-3-61-3-00261-2022-8,2024-06-12,2024-06-21,,
64,19,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11316,2024-06-12 Nr. AB-9406-3-61-3-09767-2022-8,2024-06-12,2024-06-21,,
65,20,Nutartis,"Priėmė
                                    
                                        Lietuvos vyriausiasis administracinis teismas",Identifikacinis kodas 2024-11315,2024-06-12 Nr. AB-9497-3-61-3-02359-2022-8,2024-06-12,2024-06-21,,
